Playlist Link,Track URL,Source,Collection
https://open.spotify.com/playlist/3BUhZQBqLVVxytkeZ573kU,https://open.spotify.com/track/57KmbDa2fT213o8KCCgtGh?si=1f510853d60e43ab,Spinnup,"10,089"
https://open.spotify.com/playlist/3BUhZQBqLVVxytkeZ573kU,https://open.spotify.com/track/4luDievks6Z3u3NWjyFOIK?si=802c771ed2f343b3,Independent,
https://open.spotify.com/playlist/3BUhZQBqLVVxytkeZ573kU,https://open.spotify.com/track/4es8IKXhtwtq72KvRh05b1?si=25626c4e51124c90,THE DAY WILL COME,"215,555"
https://open.spotify.com/playlist/3BUhZQBqLVVxytkeZ573kU,https://open.spotify.com/track/0jwIedF4UTYTIawo4MXLA5?si=487dbc355b4447ad,I.C.H.O.R Music,"1,885"
https://open.spotify.com/playlist/3BUhZQBqLVVxytkeZ573kU,https://open.spotify.com/track/66V5Wbq4Z5kptI5bNpwbiD?si=87435875066d4715,H.F.R Records,
https://open.spotify.com/playlist/3BUhZQBqLVVxytkeZ573kU,https://open.spotify.com/track/0uRXAlBsyVueW8HMNF3CQZ?si=50f5bf6270d14d02,Optik Music,
https://open.spotify.com/playlist/3BUhZQBqLVVxytkeZ573kU,https://open.spotify.com/track/0ENfqGOsJwffdbITl2Icl5?si=7d20d7bb94d44ec7,Up Full Media Group,
https://open.spotify.com/playlist/3BUhZQBqLVVxytkeZ573kU,https://open.spotify.com/track/4DTEJCqNAAEyI5aaYtYyRm?si=04977a7c406f4827,Up Full Media Group,
https://open.spotify.com/playlist/3BUhZQBqLVVxytkeZ573kU,https://open.spotify.com/track/6GrkwzCuaiEbN5lv8mvG4V?si=f1a72577bdf14a8f,Up Full Media Group,
https://open.spotify.com/playlist/3BUhZQBqLVVxytkeZ573kU,https://open.spotify.com/track/4qfZl7JK3dMNwztGIe10Ka?si=c7963b8adc87420f,Up Full Media Group,"1,887"
https://open.spotify.com/playlist/3BUhZQBqLVVxytkeZ573kU,https://open.spotify.com/track/3oqCkHEdpxP0Ljh8UIaDcm?si=f5cdb4ac9cc74719,ENB Musique,"8,696"
https://open.spotify.com/playlist/3BUhZQBqLVVxytkeZ573kU,https://open.spotify.com/track/1HwhPDibuEYDiHViIQxFxq?si=5ab267c64ab1421d,Up Full Media Group,
https://open.spotify.com/playlist/3BUhZQBqLVVxytkeZ573kU,https://open.spotify.com/track/2aNtE7zEwZTs9JYHOAdy65?si=a789f0489c42421c,Raun Music,"3,522"
https://open.spotify.com/playlist/3BUhZQBqLVVxytkeZ573kU,https://open.spotify.com/track/4ZKbIJlQgRGuio8xhcWLUd?si=344262a5b65344ac,Tarot Cat,"11,698"
https://open.spotify.com/playlist/3BUhZQBqLVVxytkeZ573kU,https://open.spotify.com/track/2PtWtKyQbp8M0rLyL0pa9c?si=e4cc0cfce1bd4851,New Nairobi Records,"4,637"
https://open.spotify.com/playlist/3BUhZQBqLVVxytkeZ573kU,https://open.spotify.com/track/0UgcvfE5sd8uWtz0kBwpzL?si=700eb91e9a1142ad,Ve M. Entertainment,"13,165"
https://open.spotify.com/playlist/3BUhZQBqLVVxytkeZ573kU,https://open.spotify.com/track/1SOLrbZ3T9Nnn2DpkQAvWc?si=d4724310cc5d4900,Beacon Entertainment,"1,182"
https://open.spotify.com/playlist/3BUhZQBqLVVxytkeZ573kU,https://open.spotify.com/track/5DlER9r98Gk1vzzTvUjIb2?si=74a95c87516d4623,natureplayer,"2,871"
https://open.spotify.com/playlist/3BUhZQBqLVVxytkeZ573kU,https://open.spotify.com/track/0UxaDN6XTA9HuluJIVdpHg?si=10c58db5151e414d,Immortal Muzik Ent.,"2,949"
